Line,EventId,EventTemplate,Content,ParameterList
515,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5236578579938215340 of size 67108864 from /10.250.7.244,"['-5236578579938215340', '67108864', '10.250.7.244']"
516,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.144:50010 is added to blk_-6592952246351162022 size 67108864,"['10.251.39.144:50010', '-6592952246351162022', '67108864']"
517,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-3329473910909732817 size 67108864,"['10.250.14.224:50010', '-3329473910909732817', '67108864']"
518,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-1347057913082589493 file /mnt/hadoop/dfs/data/current/subdir56/blk_-1347057913082589493,"['-1347057913082589493', 'mnt/hadoop/dfs/data/current/subdir56', '-1347057913082589493']"
519,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-8198423074054354279 src: /10.251.203.149:46429 dest: /10.251.203.149:50010,"['-8198423074054354279', '10.251.203.149:46429', '10.251.203.149:50010']"
520,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_391813102554451063 terminating,"['0', '391813102554451063']"
521,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.67:50010 is added to blk_-6449891932967810179 size 67108864,"['10.251.214.67:50010', '-6449891932967810179', '67108864']"
522,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-8563999607069929505 src: /10.251.107.19:60076 dest: /10.251.107.19:50010,"['-8563999607069929505', '10.251.107.19:60076', '10.251.107.19:50010']"
523,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-4304240611296196935 file /mnt/hadoop/dfs/data/current/subdir55/blk_-4304240611296196935,"['-4304240611296196935', 'mnt/hadoop/dfs/data/current/subdir55', '-4304240611296196935']"
524,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.68:50010 is added to blk_-3663004104512304532 size 67108864,"['10.251.110.68:50010', '-3663004104512304532', '67108864']"
525,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_000749_0/part-00749. blk_-6909607053783233975,"['user/root/rand/_temporary/_task_200811101024_0001_m_000749_0', '00749', '-6909607053783233975']"
526,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-2141627858612526069 of size 67108864 from /10.251.111.37,"['-2141627858612526069', '67108864', '10.251.111.37']"
527,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_5272731391668336674 src: /10.250.6.191:46509 dest: /10.250.6.191:50010,"['5272731391668336674', '10.250.6.191:46509', '10.250.6.191:50010']"
528,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.179:50010 is added to blk_5491101910066444061 size 67108864,"['10.251.39.179:50010', '5491101910066444061', '67108864']"
529,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_5075966182561035053 file /mnt/hadoop/dfs/data/current/subdir53/blk_5075966182561035053,"['5075966182561035053', 'mnt/hadoop/dfs/data/current/subdir53', '5075966182561035053']"
530,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5421365489363678155 of size 67108864 from /10.251.122.38,"['-5421365489363678155', '67108864', '10.251.122.38']"
531,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_2294700909811950327 of size 67108864 from /10.251.90.64,"['2294700909811950327', '67108864', '10.251.90.64']"
532,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_7224257732880626802 of size 67108864 from /10.251.122.79,"['7224257732880626802', '67108864', '10.251.122.79']"
533,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-8049908920306758342 of size 67108864 from /10.251.73.220,"['-8049908920306758342', '67108864', '10.251.73.220']"
534,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_-6582383997201802925 size 67108864,"['10.250.7.244:50010', '-6582383997201802925', '67108864']"
535,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_6746178639682808096 of size 67108864 from /10.251.125.174,"['6746178639682808096', '67108864', '10.251.125.174']"
536,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.214:50010 is added to blk_-5363213609331400263 size 67108864,"['10.251.38.214:50010', '-5363213609331400263', '67108864']"
537,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5586529360624346565 of size 67108864 from /10.251.43.115,"['-5586529360624346565', '67108864', '10.251.43.115']"
538,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_2063252936853409868 of size 67108864 from /10.251.43.192,"['2063252936853409868', '67108864', '10.251.43.192']"
539,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_8752665860595246441 src: /10.251.70.5:44006 dest: /10.251.70.5:50010,"['8752665860595246441', '10.251.70.5:44006', '10.251.70.5:50010']"
540,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_2974262690755997396 terminating,"['2', '2974262690755997396']"
541,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.194.213:50010 is added to blk_-7030770677241078854 size 67108864,"['10.251.194.213:50010', '-7030770677241078854', '67108864']"
542,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_3318864983801406136 terminating,"['1', '3318864983801406136']"
543,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001197_0/part-01197. blk_-5255262711039499896,"['user/root/rand/_temporary/_task_200811101024_0001_m_001197_0', '01197', '-5255262711039499896']"
544,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-3612946656596896413 src: /10.251.105.189:48488 dest: /10.251.105.189:50010,"['-3612946656596896413', '10.251.105.189:48488', '10.251.105.189:50010']"
545,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_8751697793900992450 of size 67108864 from /10.251.71.16,"['8751697793900992450', '67108864', '10.251.71.16']"
546,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_5816171803790152026 src: /10.251.194.102:43940 dest: /10.251.194.102:50010,"['5816171803790152026', '10.251.194.102:43940', '10.251.194.102:50010']"
547,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.66.192:50010 is added to blk_-6068587951382721748 size 67108864,"['10.251.66.192:50010', '-6068587951382721748', '67108864']"
548,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001353_0/part-01353. blk_5782729236964719738,"['user/root/rand/_temporary/_task_200811101024_0001_m_001353_0', '01353', '5782729236964719738']"
549,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-2856928563366064757 of size 67108864 from /10.251.42.9,"['-2856928563366064757', '67108864', '10.251.42.9']"
550,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_8348114876238571434 terminating,"['2', '8348114876238571434']"
551,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_1744485040428751334 src: /10.250.5.237:52234 dest: /10.250.5.237:50010,"['1744485040428751334', '10.250.5.237:52234', '10.250.5.237:50010']"
552,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001495_0/part-01495. blk_-7592643790414500555,"['user/root/rand/_temporary/_task_200811101024_0001_m_001495_0', '01495', '-7592643790414500555']"
553,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5960135894031733009 of size 67108864 from /10.251.126.83,"['-5960135894031733009', '67108864', '10.251.126.83']"
554,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.143:50010 is added to blk_8952177028039691517 size 67108864,"['10.250.14.143:50010', '8952177028039691517', '67108864']"
555,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.13.240:50010 is added to blk_939695665085237271 size 67108864,"['10.250.13.240:50010', '939695665085237271', '67108864']"
556,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001587_0/part-01587. blk_6374836031306809839,"['user/root/rand/_temporary/_task_200811101024_0001_m_001587_0', '01587', '6374836031306809839']"
557,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_1394107495884949139 src: /10.250.10.100:33314 dest: /10.250.10.100:50010,"['1394107495884949139', '10.250.10.100:33314', '10.250.10.100:50010']"
558,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-1751996688557225241 terminating,"['1', '-1751996688557225241']"
559,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.127.47:50010 is added to blk_-3990317238913332296 size 67108864,"['10.251.127.47:50010', '-3990317238913332296', '67108864']"
560,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_7837529475466774167 terminating,"['0', '7837529475466774167']"
561,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_1057763407402503745 src: /10.251.30.134:36059 dest: /10.251.30.134:50010,"['1057763407402503745', '10.251.30.134:36059', '10.251.30.134:50010']"
562,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.67.113:50010 is added to blk_8988793695103110546 size 67108864,"['10.251.67.113:50010', '8988793695103110546', '67108864']"
563,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5340841684362207777 of size 67108864 from /10.251.198.33,"['-5340841684362207777', '67108864', '10.251.198.33']"
564,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.123.99:50010 is added to blk_-2600305892036631113 size 67108864,"['10.251.123.99:50010', '-2600305892036631113', '67108864']"
565,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_-2144263949276079479 size 3547172,"['10.251.107.19:50010', '-2144263949276079479', '3547172']"
566,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-6927870228542972281 src: /10.250.7.230:41059 dest: /10.250.7.230:50010,"['-6927870228542972281', '10.250.7.230:41059', '10.250.7.230:50010']"
567,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_6610244864386894422 terminating,"['0', '6610244864386894422']"
568,E14,Verification succeeded for blk_<*>,Verification succeeded for blk_774612454978154966,['774612454978154966']
569,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_6672666770563118759 src: /10.251.71.68:44457 dest: /10.251.71.68:50010,"['6672666770563118759', '10.251.71.68:44457', '10.251.71.68:50010']"
570,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_4783621682384104986 src: /10.251.193.224:52556 dest: /10.251.193.224:50010,"['4783621682384104986', '10.251.193.224:52556', '10.251.193.224:50010']"
571,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 0 for block blk_-1387034299358896632 terminating,"['0', '-1387034299358896632']"
572,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-5012639079435860269 size 67108864,"['10.251.111.228:50010', '-5012639079435860269', '67108864']"
573,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_5600017220681756254 of size 67108864 from /10.251.214.130,"['5600017220681756254', '67108864', '10.251.214.130']"
574,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_8235751201501175836 src: /10.250.11.194:37449 dest: /10.250.11.194:50010,"['8235751201501175836', '10.250.11.194:37449', '10.250.11.194:50010']"
575,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-8838161455213213548 src: /10.251.199.150:58165 dest: /10.251.199.150:50010,"['-8838161455213213548', '10.251.199.150:58165', '10.251.199.150:50010']"
576,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-3741526967786688540 of size 67108864 from /10.251.74.79,"['-3741526967786688540', '67108864', '10.251.74.79']"
577,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_120277101968534224 of size 67108864 from /10.251.122.65,"['120277101968534224', '67108864', '10.251.122.65']"
578,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_7535677865140289610 src: /10.251.26.131:47660 dest: /10.251.26.131:50010,"['7535677865140289610', '10.251.26.131:47660', '10.251.26.131:50010']"
579,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-5814328448485070742 of size 67108864 from /10.251.74.134,"['-5814328448485070742', '67108864', '10.251.74.134']"
580,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.100:50010 is added to blk_1021828391502582165 size 67108864,"['10.250.10.100:50010', '1021828391502582165', '67108864']"
581,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.53:50010 is added to blk_3202507081359904616 size 67108864,"['10.251.38.53:50010', '3202507081359904616', '67108864']"
582,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_102441832197223997 src: /10.251.123.195:49611 dest: /10.251.123.195:50010,"['102441832197223997', '10.251.123.195:49611', '10.251.123.195:50010']"
583,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_3242229894054064344 of size 3540106 from /10.250.15.240,"['3242229894054064344', '3540106', '10.250.15.240']"
584,E9,Deleting block blk_<*> file /<*>/blk_<*>,Deleting block blk_-7601381921195183756 file /mnt/hadoop/dfs/data/current/subdir48/blk_-7601381921195183756,"['-7601381921195183756', 'mnt/hadoop/dfs/data/current/subdir48', '-7601381921195183756']"
585,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_2157471834570224881 of size 67108864 from /10.251.126.22,"['2157471834570224881', '67108864', '10.251.126.22']"
586,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-7029628814943626474 of size 67108864 from /10.250.7.230,"['-7029628814943626474', '67108864', '10.250.7.230']"
587,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-931590117143327078 src: /10.251.42.191:44480 dest: /10.251.42.191:50010,"['-931590117143327078', '10.251.42.191:44480', '10.251.42.191:50010']"
588,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_4967492069970766092 terminating,"['1', '4967492069970766092']"
589,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-1485317050914225917 terminating,"['2', '-1485317050914225917']"
590,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_1727371778357941761 src: /10.251.126.255:42844 dest: /10.251.126.255:50010,"['1727371778357941761', '10.251.126.255:42844', '10.251.126.255:50010']"
591,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.26.177:50010 is added to blk_-2402036602753320612 size 67108864,"['10.251.26.177:50010', '-2402036602753320612', '67108864']"
592,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-1849105860762445186 of size 67108864 from /10.251.91.229,"['-1849105860762445186', '67108864', '10.251.91.229']"
593,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-7820996703068538967 src: /10.251.35.1:59569 dest: /10.251.35.1:50010,"['-7820996703068538967', '10.251.35.1:59569', '10.251.35.1:50010']"
594,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_000299_0/part-00299. blk_4984150784048864430,"['user/root/randtxt2/_temporary/_task_200811101024_0002_m_000299_0', '00299', '4984150784048864430']"
595,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_1646909113279517647 of size 67108864 from /10.251.214.130,"['1646909113279517647', '67108864', '10.251.214.130']"
596,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.25.237:50010 is added to blk_-8145226289286457574 size 67108864,"['10.251.25.237:50010', '-8145226289286457574', '67108864']"
597,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.18:50010 is added to blk_5809900021002850724 size 67108864,"['10.251.214.18:50010', '5809900021002850724', '67108864']"
598,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_2735034460607366827 src: /10.251.91.15:57370 dest: /10.251.91.15:50010,"['2735034460607366827', '10.251.91.15:57370', '10.251.91.15:50010']"
599,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-7486746679002157277 src: /10.251.42.207:57669 dest: /10.251.42.207:50010,"['-7486746679002157277', '10.251.42.207:57669', '10.251.42.207:50010']"
600,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-8876879715755468215 src: /10.251.111.80:43834 dest: /10.251.111.80:50010,"['-8876879715755468215', '10.251.111.80:43834', '10.251.111.80:50010']"
601,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_000054_0/part-00054. blk_-4139299269696044017,"['user/root/randtxt2/_temporary/_task_200811101024_0002_m_000054_0', '00054', '-4139299269696044017']"
602,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_591323161994959677 src: /10.251.195.33:50123 dest: /10.251.195.33:50010,"['591323161994959677', '10.251.195.33:50123', '10.251.195.33:50010']"
603,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-5828360070550196756 terminating,"['1', '-5828360070550196756']"
604,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-7683667795522321323 terminating,"['2', '-7683667795522321323']"
605,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_7733243482102436613 src: /10.250.6.223:34069 dest: /10.250.6.223:50010,"['7733243482102436613', '10.250.6.223:34069', '10.250.6.223:50010']"
606,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_2980964138205299397 src: /10.251.110.196:53450 dest: /10.251.110.196:50010,"['2980964138205299397', '10.251.110.196:53450', '10.251.110.196:50010']"
607,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.127.191:50010 is added to blk_1589878256898761558 size 67108864,"['10.251.127.191:50010', '1589878256898761558', '67108864']"
608,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-2746863406163228797 src: /10.251.39.160:35642 dest: /10.251.39.160:50010,"['-2746863406163228797', '10.251.39.160:35642', '10.251.39.160:50010']"
609,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_3067558337579347170 src: /10.250.6.191:34137 dest: /10.250.6.191:50010,"['3067558337579347170', '10.250.6.191:34137', '10.250.6.191:50010']"
610,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_8992894896370738220 src: /10.251.43.210:54766 dest: /10.251.43.210:50010,"['8992894896370738220', '10.251.43.210:54766', '10.251.43.210:50010']"
611,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-7230947007726948080 src: /10.251.29.239:53564 dest: /10.251.29.239:50010,"['-7230947007726948080', '10.251.29.239:53564', '10.251.29.239:50010']"
612,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_1869228153483717375 src: /10.251.203.4:56599 dest: /10.251.203.4:50010,"['1869228153483717375', '10.251.203.4:56599', '10.251.203.4:50010']"
613,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.65.203:50010 is added to blk_-3949633496933134307 size 67108864,"['10.251.65.203:50010', '-3949633496933134307', '67108864']"
614,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-8745453424063341007 terminating,"['1', '-8745453424063341007']"
615,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-2117066166574895060 of size 67108864 from /10.251.73.188,"['-2117066166574895060', '67108864', '10.251.73.188']"
616,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.195.33:50010 is added to blk_512039711533506696 size 67108864,"['10.251.195.33:50010', '512039711533506696', '67108864']"
617,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_6017354285686373326 terminating,"['1', '6017354285686373326']"
618,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.126.83:50010 is added to blk_5176855630425795751 size 67108864,"['10.251.126.83:50010', '5176855630425795751', '67108864']"
619,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-4433556521525567493 of size 28492032 from /10.250.6.4,"['-4433556521525567493', '28492032', '10.250.6.4']"
620,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 2 for block blk_-5321676321043683563 terminating,"['2', '-5321676321043683563']"
621,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_-357695136519539363 terminating,"['1', '-357695136519539363']"
622,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.37:50010 is added to blk_-7603740654202748654 size 67108864,"['10.251.111.37:50010', '-7603740654202748654', '67108864']"
623,E10,PacketResponder <*> for block blk_<*> terminating,PacketResponder 1 for block blk_1279439901767890758 terminating,"['1', '1279439901767890758']"
624,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_8942969309743886844 src: /10.251.110.68:58266 dest: /10.251.110.68:50010,"['8942969309743886844', '10.251.110.68:58266', '10.251.110.68:50010']"
625,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_469871968689793326 of size 67108864 from /10.251.30.179,"['469871968689793326', '67108864', '10.251.30.179']"
626,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_001080_0/part-01080. blk_2847401988110989655,"['user/root/randtxt2/_temporary/_task_200811101024_0002_m_001080_0', '01080', '2847401988110989655']"
627,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_4307207852226914003 size 67108864,"['10.251.197.226:50010', '4307207852226914003', '67108864']"
628,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_3506875694435075421 size 67108864,"['10.251.73.220:50010', '3506875694435075421', '67108864']"
629,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_-4945182943709543868 size 67108864,"['10.251.202.134:50010', '-4945182943709543868', '67108864']"
630,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_000809_0/part-00809. blk_7550266985912909372,"['user/root/randtxt2/_temporary/_task_200811101024_0002_m_000809_0', '00809', '7550266985912909372']"
631,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.192:50010 is added to blk_-4619809198345103330 size 67108864,"['10.251.215.192:50010', '-4619809198345103330', '67108864']"
632,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_4614530673206341566 of size 67108864 from /10.251.91.229,"['4614530673206341566', '67108864', '10.251.91.229']"
633,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.201.204:50010 is added to blk_6125469222540396851 size 67108864,"['10.251.201.204:50010', '6125469222540396851', '67108864']"
634,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_6868050965297613251 src: /10.251.201.204:47734 dest: /10.251.201.204:50010,"['6868050965297613251', '10.251.201.204:47734', '10.251.201.204:50010']"
635,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-7266711648018793699 src: /10.251.31.242:47086 dest: /10.251.31.242:50010,"['-7266711648018793699', '10.251.31.242:47086', '10.251.31.242:50010']"
636,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_9146254623576405494 src: /10.250.7.146:60294 dest: /10.250.7.146:50010,"['9146254623576405494', '10.250.7.146:60294', '10.250.7.146:50010']"
637,E11,Received block blk_<*> of size <*> from /<*>,Received block blk_-6966935672736779591 of size 67108864 from /10.251.90.64,"['-6966935672736779591', '67108864', '10.251.90.64']"
638,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,Receiving block blk_-7411687001739959508 src: /10.251.122.65:46080 dest: /10.251.122.65:50010,"['-7411687001739959508', '10.251.122.65:46080', '10.251.122.65:50010']"
